gene	pLI
AGRN	0.432276824423558
NOC2L	1.42787593106998e-16
B3GALT6	0.0470288877607874
C1orf159	0.0833297729176883
ISG15	0.0584431202198305
KLHL17	6.50733790988587e-07
PLEKHN1	2.94867415806838e-07
SAMD11	2.28931804207666e-08
OR4F5	0.179613130021276
HES4	0.00890752979462469
FAM132A	0.000240237591034186
TNFRSF18	5.98902171815392e-06
SDF4	0.00088961500282757
TNFRSF4	0.0345058602744168
TTLL10	8.77227114766998e-05
UBE2J2	0.357277446113915
ATAD3C	0.000157783103422115
MRPL20	0.000743260905235074
CPSF3L	1.97917437157955e-06
AURKAIP1	0.0873663770943624
SSU72	0.875096790583733
GLTPD1	0.0012139537632511
MXRA8	0.0030561536261779
ACAP3	0.0854370419522802
VWA1	0.0289449661406977
ATAD3A	0.335908623581306
CCNL2	0.226881794117602
DVL1	0.0905115733720149
SCNN1D	5.99489388645536e-15
ATAD3B	2.64112564601127e-13
PUSL1	3.63964083710039e-11
C1orf86	0.773366537645443
SKI	0.974511598843865
CDK11B	0.889203269799489
GNB1	0.992238958193251
SLC35E2B	0.621532988131443
CDK11A	2.64810628707201e-05
NADK	0.0182685895075977
PEX10	0.00748785882494236
CALML6	0.00520557745263633
TMEM52	0.316757737940395
MORN1	3.02385070421589e-07
GABRD	0.8940197919904
PRKCZ	0.481730554105594
RER1	0.959521924345871
MIB2	0.00892422162899655
SLC35E2	0.35759345981724
PRDM16	0.999902030955002
TP73	0.990914844388112
PLCH2	6.13635999938916e-06
LRRC47	0.526983978685082
DFFB	0.00125175097325363
ACTRT2	0.0168015390171406
ARHGEF16	2.54075178362437e-07
TPRG1L	0.000309615872453983
HES5	0.542573684790202
C1orf174	0.077023751044294
MEGF6	1.59486804682739e-14
FAM213B	0.000113503953214454
CCDC27	3.03882011628058e-16
WRAP73	0.0735128782492628
CEP104	1.78910553021404e-07
MMEL1	5.5612729263453e-12
PANK4	0.994568418535505
TNFRSF14	0.94790610749464
KLHL21	0.000752452028879077
NOL9	0.232498865783278
PLEKHG5	0.000354218497172886
KCNAB2	0.76772506396046
ICMT	0.948573090264169
ESPN	0.00790526367772842
AJAP1	0.969794378558579
ZBTB48	0.993439946479069
TNFRSF25	0.347820756946174
TAS1R1	1.50355475792062e-06
NPHP4	2.98711285806585e-16
RPL22	0.734618972928748
RNF207	6.79557353294123e-05
HES3	0.262819003030394
CHD5	0.999999988796405
PHF13	0.917895431181412
THAP3	0.00110752918192318
ACOT7	0.29179891021488
HES2	0.0633099904414423
GPR153	0.00184168847242097
VAMP3	0.20835182666948
SLC45A1	0.40784630864197
CA6	0.144459189640004
DNAJC11	0.999919060893968
PIK3CD	0.999989230141224
ENO1	0.474179378029221
SLC25A33	0.769538011267213
ERRFI1	0.0350703288704696
SLC2A5	3.00734539723855e-05
GPR157	1.71844114482542e-05
UTS2	0.13400786996711
SLC2A7	7.76911103453881e-17
TMEM201	0.803346385000466
TNFRSF9	0.19459790430468
CAMTA1	0.999999946187373
PARK7	0.887825976378548
PER3	7.60156056324961e-09
H6PD	6.35855650888811e-05
SPSB1	0.672539549951004
RERE	0.999995348985294
PEX14	0.846171898065599
CLSTN1	0.899509411590213
APITD1-CORT	0.00681210888065857
DFFA	0.00527757009954542
TARDBP	0.973581160266428
EXOSC10	4.75221093388122e-06
LZIC	0.009234751215028
CORT	0.00901475627013182
SRM	0.96262425747159
PGD	0.941813046290476
RBP7	0.387762880531386
CTNNBIP1	0.110932823716355
C1orf200	0.0524593583667204
CASZ1	0.999780935627377
KIF1B	0.999999999815505
MASP2	4.53704504719739e-12
UBE4B	0.999985071162209
C1orf127	3.67005009533416e-05
APITD1	0.00681210888065857
NMNAT1	0.19811003917108
FBXO6	0.000311648324864904
FBXO2	0.238661702617249
FBXO44	0.000151289178314902
NPPB	0.00244523664587151
MAD2L2	0.155402427103188
UBIAD1	0.538776415635293
MIIP	5.62979036933577e-15
MFN2	0.999494876163907
C1orf167	0.160499610162376
CLCN6	0.0490550907094352
TNFRSF8	0.712513201750724
PLOD1	1.25308765754722e-05
MTOR	0.999999999995296
DRAXIN	3.19018638401603e-08
ANGPTL7	3.76689834195035e-07
MTHFR	9.23518356982754e-08
NPPA	0.0875344643225404
AGTRAP	0.171253550111367
PTCHD2	9.77834996020661e-06
AADACL3	0.000110836921442839
PRAMEF6	0.688987319323875
PRAMEF1	0.0803575566011639
PRAMEF12	2.04859216406268e-06
HNRNPCL1	0.0495483608185871
TNFRSF1B	0.700612651083201
DHRS3	0.619162034493049
PRAMEF2	0.000396299857862557
C1orf158	1.12124495478416e-06
PRAMEF22	0.621105262986555
PRAMEF11	0.640956771947001
PRAMEF4	0.0619611672974311
AADACL4	0.000377692943043426
PRAMEF10	0.862007887921142
VPS13D	0.99997883709747
PRAMEF7	0.179942129656772
PRAMEF14	0.568283892545264
PRDM2	0.996662350811683
TMEM51	0.857515964722947
PRAMEF19	0.589815102567215
PDPN	0.00066767788564931
CELA2B	0.00221040846647837
CTRC	2.54952869470281e-06
EFHD2	0.361793143733688
PRAMEF17	0.781094684147589
PRAMEF13	0.540803768516958
CELA2A	8.70307952792686e-07
KAZN	0.679385091729007
AGMAT	0.00265902483233419
SPEN	0.999999999999813
TMEM82	5.94925345674196e-05
SLC25A34	0.000651208385335653
FBLIM1	0.00283403689053955
PLEKHM2	0.00201091368240691
CLCNKA	2.98007722307947e-12
DNAJC16	0.00034634845926022
RSG1	7.28914690102648e-06
ARHGEF19	1.43536237277471e-08
FAM131C	0.629140766565848
EPHA2	0.835376641959814
HSPB7	0.0117373361893743
CLCNKB	7.42939733111746e-11
ZBTB17	0.996080403798026
DDI2	0.995995846244383
RSC1A1	8.21483022882973e-08
