CHR	BP	OR	P_value
chr1	752566	0.988146593255866	1
chr1	761368	2.11983754614782	0.613585803067237
chr1	768448	2.99254426458744	0.622665944678163
chr1	785925	1.54645659950684	0.681942228084818
chr1	799395	2.12000452936035	0.439546699461932
chr1	838555	1.65475797034309	0.725114592647075
chr1	850017	1.65475797034309	0.725114592647075
chr1	850018	1.28489452970982	1
chr1	884772	1.65475797034309	0.725114592647075
chr1	885424	2.03205291252572	0.339097503352808
chr1	888659	2.03205291252572	0.339097503352808
chr1	888660	2.99291017162716	0.286465848543969
chr1	894573	2.99291017162716	0.286465848543969
chr1	894574	2.56002864876702	0.282976157371024
chr1	904165	2.56002864876702	0.282976157371024
chr1	904166	5.32770286482989	0.114262025584415
chr1	904607	5.32770286482989	0.114262025584415
chr1	988372	5.32770286482989	0.114262025584415
chr1	990416	5.32770286482989	0.114262025584415
chr1	990417	4.46990159050258	0.195495222286046
chr1	1035979	2.25645652280827	0.428519563771613
chr1	1089699	2.25645652280827	0.428519563771613
chr1	1089700	4.46990159050258	0.195495222286046
chr1	1106784	5.32770286482989	0.114262025584415
chr1	1130727	5.32770286482989	0.114262025584415
chr1	1453360	2.39731603192826	0.594441664262627
chr1	1481049	2.39731603192826	0.594441664262627
chr1	1481050	1.19853077461401	1
chr1	1492966	0.599223576194001	1
chr1	1498152	0.299560090531161	0.385072107796887
chr1	1500941	0.23961840214751	0.230095894347031
chr1	1501596	0.199657949096457	0.135617077798223
chr1	1505980	0.171115094451208	0.0791945701146095
chr1	1506035	0.299460435090986	0.123593797347389
chr1	1510801	0.299460435090986	0.123593797347389
chr1	1510802	0.171115094451208	0.0791945701146095
chr1	1627918	0.149708080607019	0.0459499453412208
chr1	1652395	0.149708080607019	0.0459499453412208
chr1	1680219	0.275358881221489	0.376485697848528
chr1	1693330	0.275358881221489	0.376485697848528
chr1	1693331	0.360272914023038	0.624603457216863
chr1	1709023	0.738163192569449	1
chr1	1718444	0.738163192569449	1
chr1	1718445	1.08874893456963	1
chr1	1759111	1.08874893456963	1
chr1	1759112	2.11983754614782	0.613585803067237
chr1	1765724	2.11983754614782	0.613585803067237
chr1	1804302	1.05421742138699	1
chr1	1810090	1.35818207364004	0.723158418114505
chr1	1812688	1.60870427917158	0.72485927410497
chr1	1818129	2.47025378270362	0.228388307272685
chr1	1827212	3.03413222538743	0.0961770316226448
chr1	1852484	3.59345944661803	0.0388690393715893
chr1	1865298	3.59345944661803	0.0388690393715893
chr1	1865299	3.31426204468149	0.0613841291806598
chr1	1888193	3.31426204468149	0.0613841291806598
chr1	1888194	3.03413222538743	0.0961770316226448
chr1	1888369	3.26313929806625	0.0629119195000291
chr1	1959022	3.26313929806625	0.0629119195000291
chr1	1959023	2.70310483671148	0.151255361040017
chr1	1967954	2.98361537250398	0.0980288305137915
chr1	1987803	2.98361537250398	0.0980288305137915
chr1	1987804	2.70310483671148	0.151255361040017
chr1	2017297	2.70310483671148	0.151255361040017
chr1	2017298	2.42124998344981	0.230480572705569
chr1	2026749	2.42124998344981	0.230480572705569
chr1	2026750	1.85202942654881	0.507468516236026
chr1	2038732	1.85202942654881	0.507468516236026
chr1	2038733	1.56334788680818	0.725153063346321
chr1	2040840	1.56334788680818	0.725153063346321
chr1	2040841	1.05421742138699	1
chr1	2040898	1.05421742138699	1
chr1	2040899	1.54645659950684	0.681942228084818
chr1	2047584	1.54645659950684	0.681942228084818
chr1	2094962	2.99254426458744	0.622665944678163
chr1	2156725	2.99254426458744	0.622665944678163
chr1	2167149	2.99254426458744	0.622665944678163
chr1	2204755	2.99254426458744	0.622665944678163
chr1	2204756	2.11983754614782	0.613585803067237
chr1	2234251	2.11983754614782	0.613585803067237
chr1	2234252	0.988146593255866	1
chr1	2251160	0.988145880208907	1
