CHR	BP	OR	P_value
chr1	1506035	0.299560090531161	0.385072107796887
chr1	1510801	0.299560090531161	0.385072107796887
chr1	1510802	0.299560090531161	0.385072107796887
chr1	1627918	0.299560090531161	0.385072107796887
chr1	1652395	0.299560090531161	0.385072107796887
chr1	2359981	0.787715311367868	1
chr1	2362827	0.787715311367868	1
chr1	2362828	0.787715311367868	1
chr1	2424122	0.787715311367868	1
chr1	4388758	1.86299334486192	1
chr1	4409496	1.86299334486192	1
chr1	4865318	1.86299334486192	1
chr1	4906783	1.86299334486192	1
chr1	5112057	0.599166527937814	0.695024534696601
chr1	5113911	1.4160200404592	0.528172870080816
chr1	5114553	1.28285426754695	0.557854316016307
chr1	5117415	1.3534103096926	0.445367422477513
chr1	5124859	1.3534103096926	0.445367422477513
chr1	5169304	1.3534103096926	0.445367422477513
chr1	5169305	1.58508353140669	0.314405293380622
chr1	5170712	1.58508353140669	0.314405293380622
chr1	5170713	1.23787655737746	0.813625287902807
chr1	5174017	1.23787655737746	0.813625287902807
chr1	5174018	1.53367842263375	0.557660077492253
chr1	5174078	1.53367842263375	0.557660077492253
chr1	7626957	2.39731603192826	0.594441664262627
chr1	7656503	1.19855903324782	1
chr1	7671308	1.19855903324782	1
chr1	7914654	1.19853077461401	1
chr1	7921952	1.19853077461401	1
chr1	7921953	1.19853077461401	1
chr1	7952203	1.19853077461401	1
chr1	8684286	1.19853077461401	1
chr1	8687866	1.19855903324782	1
chr1	8690903	1.79802893664016	0.664765758993188
chr1	8695768	1.1985872999271	1
chr1	8712280	1.1985872999271	1
chr1	8712281	1.19853077461401	1
chr1	8716357	1.19853077461401	1
chr1	9036014	1.19853077461401	1
chr1	9054584	1.19853077461401	1
chr1	10678843	0.814695177632195	1
chr1	10686274	0.460614124170672	0.609399831865908
chr1	10694125	0.460614124170672	0.609399831865908
chr1	10700448	0.296943120781606	0.348219043149692
chr1	10706760	0.296943120781606	0.348219043149692
chr1	10725497	0.296943120781606	0.348219043149692
chr1	10725498	0.460614124170672	0.609399831865908
chr1	12799736	1.19853077461401	1
chr1	12805292	2.39731603192826	0.594441664262627
chr1	12821075	2.39731603192826	0.594441664262627
chr1	12821076	1.19853077461401	1
chr1	12824223	1.19853077461401	1
chr1	12824224	1.19853077461401	1
chr1	12825566	1.19853077461401	1
chr1	12825567	1.19853077461401	1
chr1	12829791	1.19853077461401	1
chr1	12829792	1.19853077461401	1
chr1	12837840	1.19853077461401	1
chr1	12837841	1.19853077461401	1
chr1	12838516	1.19853077461401	1
chr1	12838517	1.19853077461401	1
chr1	12841928	1.19853077461401	1
chr1	14232891	2.11983754614782	0.613585803067237
chr1	14246779	2.11983754614782	0.613585803067237
chr1	14246780	0.988146593255866	1
chr1	14457230	0.988146593255866	1
chr1	15789733	1.19853077461401	1
chr1	15792424	2.39731603192826	0.594441664262627
chr1	15792426	1.19855903324782	1
chr1	15806114	1.19855903324782	1
chr1	15806115	1.19855903324782	1
chr1	15811221	1.19855903324782	1
chr1	15811222	0.599223576194001	1
chr1	15814186	0.599223576194001	1
chr1	15814187	1.19853077461401	1
chr1	15815579	1.19853077461401	1
chr1	18577110	0.871518043990491	0.82143135629069
chr1	18578075	0.980581894417152	1
chr1	18591752	0.980581894417152	1
chr1	18591753	0.980581894417152	1
chr1	18601910	0.980581894417152	1
chr1	20556762	0.516181478873257	0.524532781933
chr1	20598351	0.516181478873257	0.524532781933
chr1	20598352	0.727331530258215	0.734736072009154
chr1	20604959	0.727331530258215	0.734736072009154
chr1	21688419	0.399454290572387	0.631043264678132
chr1	21688903	0.599166527937814	0.695024534696601
chr1	21691897	0.998765856162041	1
