CHR	BP	OR	P_value
chr1	752566	0.988146593255866	1
chr1	761368	2.11983754614782	0.613585803067237
chr1	768448	2.11983754614782	0.613585803067237
chr1	785925	1.08874893456963	1
chr1	799395	1.66894408840814	0.67192241176108
chr1	838555	1.35818207364004	0.723158418114505
chr1	850017	1.35818207364004	0.723158418114505
chr1	850018	0.988145167076147	1
chr1	884772	1.35818207364004	0.723158418114505
chr1	885424	1.73647699336227	0.498323663350199
chr1	888659	1.73647699336227	0.498323663350199
chr1	888660	2.56002864876702	0.282976157371024
chr1	894573	2.56002864876702	0.282976157371024
chr1	894574	2.12000452936035	0.439546699461932
chr1	904165	2.12000452936035	0.439546699461932
chr1	904166	4.46990159050258	0.195495222286046
chr1	904607	4.46990159050258	0.195495222286046
chr1	988372	4.46990159050258	0.195495222286046
chr1	990416	4.46990159050258	0.195495222286046
chr1	990417	3.59638978505516	0.336269973909547
chr1	1035979	1.79802893664016	0.664765758993188
chr1	1089699	1.79802893664016	0.664765758993188
chr1	1089700	3.59638978505516	0.336269973909547
chr1	1106784	3.59638978505516	0.336269973909547
chr1	1130727	3.59638978505516	0.336269973909547
chr1	1453360	2.39731603192826	0.594441664262627
chr1	1481049	2.39731603192826	0.594441664262627
chr1	1481050	1.19853077461401	1
chr1	1492966	0.599223576194001	1
chr1	1498152	0.399454290572387	0.631043264678132
chr1	1500941	0.399454290572387	0.631043264678132
chr1	1501596	0.399454290572387	0.631043264678132
chr1	1505980	0.299560090531161	0.385072107796887
chr1	1506035	0.299560090531161	0.385072107796887
chr1	1510801	0.299560090531161	0.385072107796887
chr1	1680219	0.524120119976742	1
chr1	1693330	0.524120119976742	1
chr1	1693331	0.988146593255866	1
chr1	1709023	2.11983754614782	0.613585803067237
chr1	1718444	2.11983754614782	0.613585803067237
chr1	1718445	2.11983754614782	0.613585803067237
chr1	1759111	2.11983754614782	0.613585803067237
chr1	1759112	2.11983754614782	0.613585803067237
chr1	1765724	2.11983754614782	0.613585803067237
chr1	1804302	1.05421742138699	1
chr1	1810090	1.35818207364004	0.723158418114505
chr1	1812688	1.60870427917158	0.72485927410497
chr1	1818129	2.47025378270362	0.228388307272685
chr1	1827212	3.03413222538743	0.0961770316226448
chr1	1852484	3.59345944661803	0.0388690393715893
chr1	1865298	3.59345944661803	0.0388690393715893
chr1	1865299	3.31426204468149	0.0613841291806598
chr1	1888193	3.31426204468149	0.0613841291806598
chr1	1888194	3.03413222538743	0.0961770316226448
chr1	1888369	3.26313929806625	0.0629119195000291
chr1	1959022	3.26313929806625	0.0629119195000291
chr1	1959023	2.70310483671148	0.151255361040017
chr1	1967954	2.98361537250398	0.0980288305137915
chr1	1987803	2.98361537250398	0.0980288305137915
chr1	1987804	2.70310483671148	0.151255361040017
chr1	2017297	2.70310483671148	0.151255361040017
chr1	2017298	2.42124998344981	0.230480572705569
chr1	2026749	2.42124998344981	0.230480572705569
chr1	2026750	1.85202942654881	0.507468516236026
chr1	2038732	1.85202942654881	0.507468516236026
chr1	2038733	1.56334788680818	0.725153063346321
chr1	2040840	1.56334788680818	0.725153063346321
chr1	2040841	1.05421742138699	1
chr1	2040898	1.05421742138699	1
chr1	2040899	1.54645659950684	0.681942228084818
chr1	2047584	1.54645659950684	0.681942228084818
chr1	2094962	2.99254426458744	0.622665944678163
chr1	2156725	2.99254426458744	0.622665944678163
chr1	2167149	2.99254426458744	0.622665944678163
chr1	2204755	2.99254426458744	0.622665944678163
chr1	2204756	2.11983754614782	0.613585803067237
chr1	2234251	2.11983754614782	0.613585803067237
chr1	2234252	0.988146593255866	1
chr1	2251160	0.988145880208907	1
chr1	2325371	1.54645659950684	0.681942228084818
chr1	2351699	1.98877848616862	0.685758970272221
chr1	2358944	1.28489452970982	1
chr1	2359280	1.28489452970982	1
